smiles,denticities,coordinating_atom_indices,coordinating_atom_symbols
[CH2]c1cc(C)ccc1P(CCNCCP(c1ccc(C)cc1[CH2])c1ccc(C)cc1C)c1ccc(C)cc1C,5,"[14, 22, 11, 8, 0]","['P', 'C', 'N', 'P', 'C']"
[CH2]c1cc(C)cc(C)c1P(CCNCCP(c1c([CH2])cc(C)cc1C)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,5,"[15, 18, 12, 9, 0]","['P', 'C', 'N', 'P', 'C']"
O=S(=O)([O-])c1ccc(/[NH+]=N/c2c([O-])ccc3ccccc23)cc1,1,[3],['O']
CC(=N\c1c(C)cc(C)cc1C)/C(C)=N/c1c(C)cc(C)cc1-c1ccc(C)cc1,2,"[14, 2]","['N', 'N']"
CC(=N\c1c(C)cc(C)cc1C)/C(C)=N/c1c(-c2ccc(C)cc2)cc(C)cc1-c1ccc(C)cc1,2,"[14, 2]","['N', 'N']"
CC(=N\c1c(C)cc(C)cc1-c1ccc(C)cc1)/C(C)=N/c1c(C)cc(C)cc1-c1ccc(C)cc1,2,"[2, 20]","['N', 'N']"
CC(=N\c1c(C)cc(C)cc1-c1ccc(C)cc1)/C(C)=N/c1c(-c2ccc(C)cc2)cc(C)cc1-c1ccc(C)cc1,2,"[20, 2]","['N', 'N']"
CC(=N\c1c(C)cc(-c2ccc(C)cc2)cc1-c1ccc(C)cc1)/C(C)=N/c1c(C)cc(-c2ccc(C)cc2)cc1-c1ccc(C)cc1,2,"[2, 26]","['N', 'N']"
Cc1cc(C)n(-c2ncn(C)n2)n1,2,"[12, 7]","['N', 'N']"
Cc1ccc(-c2cc(C)cc3[n-]c(-c4nc5cc(C)cc(-c6ccc(C)cc6)c5[nH]4)nc23)cc1,2,"[14, 11]","['N', 'N']"
Fc1cc2nc3c4cccnc4c4ncccc4c3nc2cc1F,2,"[10, 13]","['N', 'N']"
[O-]c1ccccc1/C=N/N(c1ccccc1)c1cccc(N(/N=C/c2ccccc2O)c2ccccc2)n1,4,"[0, 8, 37, 22]","['O', 'N', 'N', 'N']"
[BH3-]C#N,1,[2],['N']
CC(C)(C)n1c(-c2ccccc2)[n+](C(C)(C)C)[si-]1-n1cccc1Cc1cccn1-[si-]1n(C(C)(C)C)c(-c2ccccc2)[n+]1C(C)(C)C,2,"[17, 29]","['Si', 'Si']"
CC(C)(C)n1c(-c2ccccc2)[n+](C(C)(C)C)[si-]1-n1cccc1C(c1ccccc1)c1cccn1-[si-]1n(C(C)(C)C)c(-c2ccccc2)[n+]1C(C)(C)C,2,"[35, 17]","['Si', 'Si']"
CC(c1cccn1-[si-]1n(C(C)(C)C)c(-c2ccccc2)[n+]1C(C)(C)C)c1cccn1-[si-]1n(C(C)(C)C)c(-c2ccccc2)[n+]1C(C)(C)C,2,"[30, 7]","['Si', 'Si']"
CC(C)[N+](=C/[C]=C1/C2=[C]c3ccccc3C(c3cccc(F)c3)=C[C@@]2(O)c2ccccc21)C(C)C,2,"[5, 8]","['C', 'C']"
[C]#Cc1ccc(N(C)C)cc1,1,[0],['C']
CC(C)c1cccc(C(C)C)c1N1[C]N(c2c(C(C)C)cccc2C(C)C)C(=O)C(C)(C)C1,1,[13],['C']
COc1ccc(-c2c3nc(c(O)c4ccc([n-]4)c(-c4c(C)cc(C)cc4C)c4nc(cc5ccc2[n-]5)C=C4)C=C3)cc1,4,"[35, 8, 28, 16]","['N', 'N', 'N', 'N']"
COc1cccc(OC)c1-c1c2nc(cc3ccc([n-]3)c(-c3c(C)cc(C)cc3C)c3nc(c(OC(C)=O)c4ccc1[n-]4)C=C3)C=C2,4,"[19, 12, 31, 42]","['N', 'N', 'N', 'N']"
COc1ccc(-c2c3nc(c(OC(C)=O)c4ccc([n-]4)c(-c4c(C)cc(C)cc4C)c4nc(c(OC(C)=O)c5ccc2[n-]5)C=C4)C=C3)cc1,4,"[31, 42, 19, 8]","['N', 'N', 'N', 'N']"
Cc1ccc2cccc([Si-](C)C)c2n1,2,"[9, 13]","['Si', 'N']"
[NH3+]NC(=O)c1cc[nH]n1,1,[8],['N']
c1ccc2nc(CN3CCSCCSCCSCC3)ccc2c1,5,"[10, 7, 13, 4, 16]","['S', 'N', 'S', 'N', 'S']"
CCOC(=O)c1ccc(-c2cc(-c3[c]cccc3)nc(-c3[c]cccc3)c2)cc1,3,"[18, 21, 13]","['N', 'C', 'C']"
Cc1cc(C(C)(C)C)cc(C)c1NC1c2ccccc2Cc2ccccc21,1,[12],['N']
O=Cc1c([O-])cccc1Cl,2,"[4, 0]","['O', 'O']"
Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4[n-]c(cc4/C=C/C=C(C#N)C#N)c4cc(/C=C/C=C(C#N)C#N)c([n-]4)c(-c4ccc(C)cc4)c4ccc2[n-]4)C=C3)cc1,4,"[55, 7, 42, 18]","['N', 'N', 'N', 'N']"
Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4[n-]c(cc4C=C(C#N)C#N)c4cc(C=C(C#N)C#N)c([n-]4)c(-c4ccc(C)cc4)c4ccc2[n-]4)C=C3)cc1,4,"[51, 7, 38, 18]","['N', 'N', 'N', 'N']"
Nc1ccc(C(=O)[O-])cc1[N+](=O)[O-],1,[7],['O']
Nc1ccc(C(=O)O)cc1[N+](=O)[O-],1,[6],['O']
C[C@]1([O-])[C@@H]([O-])CCC[C@]1(C)c1ccccc1,2,"[4, 2]","['O', 'O']"
C/C(=N\CCCNCCC/N=C(\C)C(C)(C)[S+](=O)=O)C(C)(C)[S-],5,"[2, 22, 6, 10, 16]","['N', 'S', 'N', 'N', 'S']"
